"Gene","Module","MM","MM_pval","GS_Tumor","GS_pval","SignificantModule"
"ACTA2","black",0.887533372700613,2.139715008634e-82,0.462399930648103,3.59890671268258e-14,TRUE
"ADAMTS12","black",0.817056234835713,4.37136288485252e-59,0.552778200717852,1.09850642562752e-20,TRUE
"AEBP1","black",0.903280087622235,8.42910109545125e-90,0.508265301950376,3.09809112702808e-17,TRUE
"AFAP1","black",0.902083535516291,3.40269607647766e-89,0.527856945502167,1.08367944798641e-18,TRUE
"ANOS1","black",0.806483121620029,1.8166984826416e-56,0.52605394193959,1.48892775774917e-18,TRUE
"ANTXR1","black",0.939290318799126,5.15098461525326e-113,0.575133150856549,1.27225596997997e-22,TRUE
"ANXA1","black",0.867356982351547,2.21794604599496e-74,0.386724020978782,5.10356844713037e-10,TRUE
"APBB2","black",0.856301959146748,1.5772242408775e-70,0.37838978082034,1.27214220556699e-09,TRUE
"ARPC1B","black",0.828503735526072,4.04631488186286e-62,0.456837547259015,7.900849800543e-14,TRUE
"ASAP1","black",0.892219401749214,1.77030618538387e-84,0.362289322730179,6.91419960715102e-09,TRUE
"ATP2B4","black",0.825447933126601,2.74438296367181e-61,0.426225934730059,4.67648490629099e-12,TRUE
"ATXN1","black",0.819718048562582,9.0059816734257e-60,0.367352515607704,4.10092583426066e-09,TRUE
"AXL","black",0.861625922053073,2.42398727756582e-72,0.44899711996686,2.33685762515266e-13,TRUE
"BMPR2","black",0.87226235171347,3.34200233197418e-76,0.445013880774803,4.0115928219913e-13,TRUE
"BNC2","black",0.88195665087091,4.9106329302061e-80,0.34802952578738,2.86924382193524e-08,TRUE
"C1R","black",0.86144962588518,2.79114423389486e-72,0.275086293013221,1.47656089936656e-05,TRUE
"CALD1","black",0.860795204560309,4.7034424478364e-72,0.430021467081205,2.88211355484902e-12,TRUE
"CAPZB","black",0.887733628119125,1.75094981891079e-82,0.46785180133554,1.64205402941896e-14,TRUE
"CBLB","black",0.807035964530799,1.33780598302277e-56,0.297306089797761,2.625917131351e-06,TRUE
"CDC42SE1","black",0.812316952592583,6.83772437640865e-58,0.427300200240896,4.08027310368545e-12,TRUE
"CDH11","black",0.91502915081637,3.29777813168868e-96,0.543265876482357,6.63017471444851e-20,TRUE
"CEP170","black",0.897306772419043,7.50921388642536e-87,0.443096321989617,5.19051563587598e-13,TRUE
"COL12A1","black",0.882065474066539,4.4281137938038e-80,0.493211130929102,3.5329463120025e-16,TRUE
"COL1A1","black",0.815133674351808,1.34660485857284e-58,0.477007842115588,4.25855176605788e-15,TRUE
"COL4A2","black",0.82926101315845,2.50312266915576e-62,0.472004361382823,8.94802572958308e-15,TRUE
"COL6A3","black",0.828312209335575,4.56719798319664e-62,0.435467844185269,1.42383362980869e-12,TRUE
"CORO1C","black",0.913939665926016,1.41384409984808e-95,0.472651785179798,8.13387612882574e-15,TRUE
"CTSB","black",0.904449455038437,2.11746166739418e-90,0.500709980227108,1.06685376316228e-16,TRUE
"CTSK","black",0.910674268539032,9.90969763121628e-94,0.417990816773813,1.30940908827907e-11,TRUE
"CTTNBP2NL","black",0.878799842606508,9.44537368180675e-79,0.544455600595847,5.31166346389588e-20,TRUE
"CYTH3","black",0.826602184740401,1.33760033041345e-61,0.447418813835997,2.8972671586326e-13,TRUE
"DPYSL3","black",0.911392487189431,3.94688990557362e-94,0.45037210273704,1.93601714603146e-13,TRUE
"DSE","black",0.850718904869535,1.05335728012645e-68,0.378085852109161,1.31459119640036e-09,TRUE
"EDIL3","black",0.805870426053243,2.54717912894636e-56,0.546336698716873,3.7341814958286e-20,TRUE
"EDNRA","black",0.928169018993618,1.40756954254548e-104,0.536676825481706,2.2283415913827e-19,TRUE
"EFEMP2","black",0.848514982082397,5.27778610133947e-68,0.322404409253514,3.11565727127425e-07,TRUE
"ELK3","black",0.839786890266349,2.4462643821027e-65,0.382221391425144,8.38608491774977e-10,TRUE
"ENTPD1","black",0.887856667538232,1.54770132554685e-82,0.449784601385018,2.09832456256291e-13,TRUE
"FBN1","black",0.826027998651003,1.91372117115249e-61,0.369249009106539,3.3642628170112e-09,TRUE
"FLNA","black",0.913611087586561,2.18481998974312e-95,0.492651117557176,3.85890489090081e-16,TRUE
"FMNL3","black",0.820827293441659,4.62668051020176e-60,0.357273646355152,1.14976985820268e-08,TRUE
"FN1","black",0.894728028892076,1.23986456503835e-85,0.587594719980105,9.10935144501649e-24,TRUE
"FSTL1","black",0.842797152475826,3.0719618303919e-66,0.347244738367433,3.09670210586938e-08,TRUE
"FUT11","black",0.819356745030203,1.11768656564472e-59,0.435634881019208,1.39309248937712e-12,TRUE
"GLI3","black",0.822351604261547,1.83861029313561e-60,0.289141228741803,5.03833540582709e-06,TRUE
"GLT8D2","black",0.829192149838548,2.61512001607895e-62,0.322773675459383,3.01499139660099e-07,TRUE
"GNB1","black",0.817705891136411,2.97990820220139e-59,0.394633573766145,2.09406679136701e-10,TRUE
"GNS","black",0.806851147234286,1.48206218448841e-56,0.314286420091973,6.34381029548864e-07,TRUE
"GPC6","black",0.813871885589503,2.79793884151066e-58,0.353594250838044,1.66042299288463e-08,TRUE
"GREM1","black",0.850652584512437,1.10611631942651e-68,0.477777793332692,3.79464694302435e-15,TRUE
"GSTA3","black",-0.800398702179156,4.94373945511437e-55,-0.349208158847213,2.55762750050814e-08,TRUE
"HIP1","black",0.819706308268373,9.06947119754619e-60,0.31795621695768,4.61191512242478e-07,TRUE
"IFI16","black",0.870878050064492,1.11096727200583e-75,0.365587603748584,4.92501762795936e-09,TRUE
"IFITM2","black",0.801677856465113,2.49211675733907e-55,0.287930170790701,5.54017286164214e-06,TRUE
"IGFBP5","black",0.86041982141003,6.33715239060375e-72,0.512299537249883,1.5807388782578e-17,TRUE
"INHBA","black",0.801192423053106,3.23384440326523e-55,0.546155830110857,3.8632394020494e-20,TRUE
"ITGB5","black",0.870617134083998,1.39109320041482e-75,0.548029019613934,2.71452767459022e-20,TRUE
"KCTD10","black",0.900634032160677,1.80132475612328e-88,0.438901851155614,9.06845270754084e-13,TRUE
"KIRREL1","black",0.895537968860913,5.17997924208779e-86,0.358560625770275,1.00995454964027e-08,TRUE
"LBH","black",0.829287936813477,2.4606374702372e-62,0.441707905009971,6.24871402356717e-13,TRUE
"LEF1","black",0.823270438660476,1.04965456238595e-60,0.552968059831116,1.05916969892477e-20,TRUE
"LOX","black",0.827339984916294,8.42570661072619e-62,0.383488239382413,7.29802590551006e-10,TRUE
"LRCH1","black",0.821441227596073,3.19381902512391e-60,0.458087338924866,6.62951061120889e-14,TRUE
"LRP1","black",0.889811176353287,2.13773314062053e-83,0.377356959349275,1.42205999836883e-09,TRUE
"LUM","black",0.876917202273466,5.2974173344171e-78,0.396762824622789,1.64088298138308e-10,TRUE
"LUZP6","black",0.836084593443554,2.96144266013874e-64,0.36173879148918,7.31428539773221e-09,TRUE
"MAP4","black",0.813683863951131,3.1185814754228e-58,0.349806635611633,2.4121563577486e-08,TRUE
"MARVELD1","black",0.847834550640403,8.63535902011436e-68,0.484306144971701,1.41047873615337e-15,TRUE
"MFGE8","black",0.897254401279332,7.95512701156498e-87,0.44309536057627,5.19118406869161e-13,TRUE
"MMP14","black",0.800176063863674,5.56688767856528e-55,0.61745676731967,1.01072005201539e-26,TRUE
"MMP2","black",0.879433208554469,5.25390542109137e-79,0.395185168184414,1.96619026825522e-10,TRUE
"MPZL1","black",0.863204374870043,6.7969961207908e-73,0.490919879636435,5.0641535877425e-16,TRUE
"MR1","black",0.807743099853778,9.03207008724738e-57,0.418046280453639,1.30048149888445e-11,TRUE
"MSN","black",0.883332175714408,1.31850194570897e-80,0.415849256349914,1.70365988534092e-11,TRUE
"MXRA5","black",0.811553334693138,1.05723277997622e-57,0.497317448417786,1.84056214038537e-16,TRUE
"MYH9","black",0.853429908634386,1.39965723123265e-69,0.445157943749043,3.93443242717722e-13,TRUE
"MYL6","black",0.807667355771393,9.42096559231891e-57,0.453470689600724,1.26296610966941e-13,TRUE
"NID1","black",0.835936371710379,3.26811841918358e-64,0.309066093608144,9.91176980291724e-07,TRUE
"NID2","black",0.816194357413362,7.25059460978987e-59,0.272280082441185,1.81750498025117e-05,TRUE
"NNMT","black",0.844892953950511,7.05973273321406e-67,0.335683439468476,9.30165621719055e-08,TRUE
"NREP","black",0.841592571678313,7.08358376401811e-66,0.512444070746002,1.54283112757527e-17,TRUE
"OLFML2B","black",0.898689430898149,1.6189641878155e-87,0.433470451357998,1.84675556390681e-12,TRUE
"OSMR","black",0.825910216149454,2.05928481266747e-61,0.413060793589229,2.39338129424476e-11,TRUE
"PALLD","black",0.941517986496196,6.76540847261905e-115,0.526443312912331,1.39042309234383e-18,TRUE
"PDGFRB","black",0.910779255340749,8.66621181882056e-94,0.45561839257638,9.36913790166707e-14,TRUE
"PDLIM7","black",0.813908960758503,2.73867652974438e-58,0.570268982478037,3.45501168119796e-22,TRUE
